symbol,date,iv30,source
AA,2025-07-18,45.01,md-bs
AA,2025-07-25,40.01,md-bs
AA,2025-08-01,57.87,md-bs
AA,2025-08-08,46.66,md-bs
AA,2025-08-15,45.69,md-bs
AA,2025-08-22,39.35,md-bs
AA,2025-08-29,49.01,md-bs
AA,2025-09-05,49.17,md-bs
AA,2025-09-12,47.94,md-bs
AA,2025-09-19,52.47,md-bs
AA,2025-09-26,55.05,md-bs
AA,2025-10-03,56.49,md-bs
AA,2025-10-10,61.77,md-bs
AA,2025-10-17,60.14,md-bs
AA,2025-10-24,52.6,md-bs
AA,2025-10-31,49.43,md-bs
AA,2025-11-07,49.34,md-bs
AA,2025-11-14,51.05,md-bs
AA,2025-11-21,53.11,md-bs
AA,2025-11-28,47.58,md-bs
AA,2025-12-05,42.91,md-bs
AA,2025-12-12,44.85,md-bs
AA,2025-12-19,45.69,md-bs
AA,2025-12-26,51.64,md-bs
AA,2026-01-02,52.23,md-bs
AA,2026-01-09,62.25,md-bs
AA,2026-01-16,57.59,md-bs
AA,2026-01-23,52.82,md-bs
AA,2026-01-30,57.89,md-bs
AA,2026-02-06,62.0,md-bs
AA,2026-02-13,61.88,md-bs
AA,2026-02-20,62.47,md-bs
AA,2026-02-27,65.37,md-bs
AA,2026-03-06,70.23,md-bs
AA,2026-03-13,71.99,md-bs
AA,2026-03-20,74.35,md-bs
AA,2026-03-27,75.45,md-bs
AA,2026-04-03,69.69,md-bs
AA,2026-04-10,67.36,md-bs
AA,2026-04-17,56.95,md-bs
AA,2026-04-24,56.88,md-bs
AA,2026-05-01,52.28,md-bs
AA,2026-05-08,51.47,md-bs
AA,2026-05-15,56.84,md-bs
AA,2026-05-22,56.87,md-bs
AA,2026-05-29,61.75,md-bs
AA,2026-06-05,63.87,md-bs
AA,2026-06-12,59.84,md-bs
AA,2026-06-19,59.46,md-bs
AA,2026-06-26,62.38,md-bs
AA,2026-07-03,63.72,md-bs
AA,2026-07-10,64.42,md-bs
AA,2026-07-15,61.83,cboe
AAL,2025-07-18,47.45,md-bs
AAL,2025-07-25,37.23,md-bs
AAL,2025-08-01,41.7,md-bs
AAL,2025-08-08,38.83,md-bs
AAL,2025-08-15,49.03,md-bs
AAL,2025-08-22,46.9,md-bs
AAL,2025-08-29,44.33,md-bs
AAL,2025-09-05,45.89,md-bs
AAL,2025-09-12,45.0,md-bs
AAL,2025-09-19,48.99,md-bs
AAL,2025-09-26,52.52,md-bs
AAL,2025-10-03,54.1,md-bs
AAL,2025-10-10,55.52,md-bs
AAL,2025-10-17,53.52,md-bs
AAL,2025-10-24,41.78,md-bs
AAL,2025-10-31,47.69,md-bs
AAL,2025-11-07,48.52,md-bs
AAL,2025-11-14,46.58,md-bs
AAL,2025-11-21,51.76,md-bs
AAL,2025-11-28,43.25,md-bs
AAL,2025-12-05,39.52,md-bs
AAL,2025-12-12,38.5,md-bs
AAL,2025-12-19,41.27,md-bs
AAL,2025-12-26,46.01,md-bs
AAL,2026-01-02,47.72,md-bs
AAL,2026-01-09,50.33,md-bs
AAL,2026-01-16,49.18,md-bs
AAL,2026-01-23,49.1,md-bs
AAL,2026-01-30,41.89,md-bs
AAL,2026-02-06,47.52,md-bs
AAL,2026-02-13,47.26,md-bs
AAL,2026-02-20,53.5,md-bs
AAL,2026-02-27,53.5,md-bs
AAL,2026-03-06,65.66,md-bs
AAL,2026-03-13,67.75,md-bs
AAL,2026-03-20,62.96,md-bs
AAL,2026-03-27,66.9,md-bs
AAL,2026-04-03,59.82,md-bs
AAL,2026-04-10,56.64,md-bs
AAL,2026-04-17,56.43,md-bs
AAL,2026-04-24,52.57,md-bs
AAL,2026-05-01,49.97,md-bs
AAL,2026-05-08,49.0,md-bs
AAL,2026-05-15,49.58,md-bs
AAL,2026-05-22,55.53,md-bs
AAL,2026-05-29,57.28,md-bs
AAL,2026-06-05,50.57,md-bs
AAL,2026-06-12,50.54,md-bs
AAL,2026-06-19,50.69,md-bs
AAL,2026-06-26,74.49,md-bs
AAL,2026-07-03,57.95,md-bs
AAL,2026-07-10,57.54,md-bs
AAL,2026-07-15,53.4,cboe
AAOI,2025-07-18,127.76,md-bs
AAOI,2025-07-25,125.43,md-bs
AAOI,2025-08-01,119.04,md-bs
AAOI,2025-08-08,89.11,md-bs
AAOI,2025-08-15,94.95,md-bs
AAOI,2025-08-22,96.1,md-bs
AAOI,2025-08-29,95.63,md-bs
AAOI,2025-09-05,89.61,md-bs
AAOI,2025-09-12,92.23,md-bs
AAOI,2025-09-19,91.27,md-bs
AAOI,2025-09-26,91.75,md-bs
AAOI,2025-10-03,96.44,md-bs
AAOI,2025-10-10,129.73,md-bs
AAOI,2025-10-17,131.59,md-bs
AAOI,2025-10-24,128.13,md-bs
AAOI,2025-10-31,115.83,md-bs
AAOI,2025-11-07,103.57,md-bs
AAOI,2025-11-14,102.01,md-bs
AAOI,2025-11-21,98.02,md-bs
AAOI,2025-11-28,99.57,md-bs
AAOI,2025-12-05,88.92,md-bs
AAOI,2025-12-12,95.58,md-bs
AAOI,2025-12-19,91.17,md-bs
AAOI,2025-12-26,98.29,md-bs
AAOI,2026-01-02,93.69,md-bs
AAOI,2026-01-09,97.14,md-bs
AAOI,2026-01-16,93.22,md-bs
AAOI,2026-01-23,101.19,md-bs
AAOI,2026-01-30,121.95,md-bs
AAOI,2026-02-06,131.16,md-bs
AAOI,2026-02-13,128.38,md-bs
AAOI,2026-02-20,130.7,md-bs
AAOI,2026-02-27,123.37,md-bs
AAOI,2026-03-06,129.52,md-bs
AAOI,2026-03-13,126.14,md-bs
AAOI,2026-03-20,120.46,md-bs
AAOI,2026-03-27,126.71,md-bs
AAOI,2026-04-03,134.42,md-bs
AAOI,2026-04-10,162.66,md-bs
AAOI,2026-04-17,155.45,md-bs
AAOI,2026-04-24,160.17,md-bs
AAOI,2026-05-01,154.61,md-bs
AAOI,2026-05-08,126.17,md-bs
AAOI,2026-05-15,131.65,md-bs
AAOI,2026-05-22,127.62,md-bs
AAOI,2026-05-29,124.93,md-bs
AAOI,2026-06-05,145.02,md-bs
AAOI,2026-06-12,137.37,md-bs
